angle,azimuth_db,elevation_db
238,-8.7442,-12.5421
239,-8.5362,-12.2716
240,-8.3270,-12.0000
241,-8.1168,-11.7275
242,-7.9058,-11.4542
243,-7.6939,-11.1803
244,-7.4813,-10.9059
245,-7.2681,-10.6311
246,-7.0544,-10.3561
247,-6.8403,-10.0809
248,-6.6258,-9.8058
249,-6.4111,-9.5309
250,-6.1963,-9.2562
251,-5.9814,-8.9819
252,-5.7665,-8.7082
253,-5.5518,-8.4351
254,-5.3373,-8.1628
255,-5.1230,-7.8914
256,-4.9092,-7.6210
257,-4.6958,-7.3517
258,-4.4830,-7.0837
259,-4.2708,-6.8170
260,-4.0593,-6.5517
261,-3.8486,-6.2880
262,-3.6388,-6.0259
263,-3.4299,-5.7656
264,-3.2220,-5.5071
265,-3.0152,-5.2506
266,-2.8096,-4.9961
267,-2.6052,-4.7437
268,-2.4021,-4.4935
269,-2.2003,-4.2456
270,-2.0000,-4.0000
271,-1.8012,-3.7569
272,-1.6039,-3.5163
273,-1.4082,-3.2783
274,-1.2141,-3.0429
275,-1.0218,-2.8102
276,-0.8312,-2.5803
277,-0.6425,-2.3532
278,-0.4556,-2.1291
279,-0.2706,-1.9078
280,-0.0876,-1.6895
281,0.0934,-1.4743
282,0.2724,-1.2621
283,0.4493,-1.0531
284,0.6240,-0.8472
285,0.7967,-0.6445
286,0.9671,-0.4450
287,1.1353,-0.2487
288,1.3013,-0.0557
289,1.4650,0.1340
290,1.6264,0.3204
291,1.7854,0.5034
292,1.9422,0.6832
293,2.0965,0.8596
294,2.2484,1.0326
295,2.3980,1.2022
296,2.5451,1.3685
297,2.6898,1.5314
298,2.8320,1.6910
299,2.9717,1.8472
300,3.1090,2.0000
301,3.2438,2.1495
302,3.3761,2.2956
303,3.5059,2.4384
304,3.6332,2.5779
305,3.7580,2.7141
306,3.8803,2.8470
307,4.0001,2.9767
308,4.1174,3.1031
309,4.2321,3.2263
310,4.3444,3.3463
311,4.4542,3.4632
312,4.5615,3.5769
313,4.6663,3.6875
314,4.7686,3.7950
315,4.8685,3.8995
316,4.9659,4.0010
317,5.0608,4.0994
318,5.1533,4.1950
319,5.2433,4.2876
320,5.3310,4.3773
321,5.4162,4.4642
322,5.4990,4.5483
323,5.5795,4.6296
324,5.6575,4.7082
325,5.7332,4.7841
326,5.8066,4.8573
327,5.8776,4.9279
328,5.9463,4.9959
329,6.0127,5.0614
330,6.0769,5.1244
331,6.1387,5.1848
332,6.1983,5.2429
333,6.2556,5.2985
334,6.3107,5.3518
335,6.3636,5.4027
336,6.4143,5.4514
337,6.4628,5.4978
338,6.5091,5.5419
339,6.5533,5.5838
340,6.5953,5.6236
341,6.6352,5.6612
342,6.6729,5.6968
343,6.7085,5.7302
344,6.7421,5.7616
345,6.7735,5.7909
346,6.8029,5.8182
347,6.8302,5.8436
348,6.8554,5.8670
349,6.8786,5.8884
350,6.8997,5.9079
351,6.9188,5.9255
352,6.9359,5.9412
353,6.9509,5.9551
354,6.9640,5.9670
355,6.9750,5.9771
356,6.9840,5.9854
357,6.9910,5.9918
358,6.9960,5.9963
359,6.9990,5.9991
360,7.0000,6.0000
