Time_s,Downrange_km,Altitude_km,VelHoriz_ms,VelVert_ms,VelTotal_ms,Mach,Phase,Mass_kg
0,0,0,0,0.01,0.01,2.93865020924175e-05,1,1987
0.1,1.15851001622097e-07,0.00060243504184096,0.00347887198573879,12.0512102756971,12.0512107778272,0.035414533708419,1,1975.56144421964
0.2,9.29490674543506e-07,0.00241275431818658,0.0139692769351185,24.1677886833066,24.1677927205126,0.0710226219062601,1,1964.12288843928
0.3,3.1461421323614e-06,0.00543852594208284,0.0315527944170511,36.3603622183966,36.3603759088357,0.106856981113624,1,1952.68433265892
0.4,7.47924498271016e-06,0.00968738104700076,0.0563122159963296,48.6295645404249,48.6295971447124,0.142920992582331,1,1941.24577687856
0.5,1.46505816491767e-05,0.0151670144882519,0.0883315688702397,60.9760362427718,60.9761002225124,0.179218090502595,1,1929.80722109819
0.6,2.53903978996165e-05,0.021885185526358,0.127696139012922,73.4004251211522,73.4005361987893,0.215751763729207,1,1918.36866531783
0.7,4.04375342504406e-05,0.0298497185863363,0.174492496543403,85.9033864725586,85.9035636925798,0.252525557625086,1,1906.93010953747
0.8,6.05395512669204e-05,0.0390685039973646,0.228808520564126,98.4855833917972,98.4858491833305,0.289543075926397,1,1895.49155375711
0.9,8.64528662504097e-05,0.0495494988150733,0.290733426409147,111.147687101398,111.148067342242,0.326807982735904,1,1884.05299797675
1,0.000118942883664678,0.0613007276233564,0.360357792344068,123.890377278519,123.890901360641,0.364324004538614,1,1872.61444219639
1.1,0.000158784137501643,0.0743302834261029,0.437773588879569,136.714342418272,136.715043314829,0.402094932357438,1,1861.17588641603
1.2,0.000206760427222693,0.0886463285174686,0.523074207515593,149.620280193392,149.621194527298,0.440124623931954,1,1849.73733063567
1.3,0.000263664966237307,0.104257095449983,0.616354492322656,162.608897853605,162.610065967714,0.478417006049925,1,1838.29877485531
1.4,0.000330300523786505,0.121170887980096,0.717710770930163,175.680912620608,175.68237864954,0.516976076902857,1,1826.86021907495
1.5,0.000407479580011157,0.139396082120136,0.827240888596742,188.837052126284,188.838864069959,0.555805908608094,1,1815.42166329458
1.6,0.00049602447424641,0.158941127166471,0.945044241661126,202.078054845727,202.080264644649,0.59491064975602,1,1803.98310751422
1.7,0.000596767567202859,0.179814546843379,1.07122181434332,215.404670577297,215.407334189645,0.634294528138749,1,1792.54455173386
1.8,0.000710551396186397,0.20202494042173,1.20587621489675,228.817660916615,228.820838397198,0.673961853505125,1,1781.1059959535
1.9,0.000838228844966061,0.22558098396344,1.34911171540451,242.317799781663,242.321555362801,0.713917020513437,1,1769.66744017314
2,0.000980663306483612,0.250491431539189,1.50103429089359,255.905873930884,255.910276105263,0.754164511711823,1,1758.22888439278
2.1,0.00113872886342748,0.27676511697347,1.66175156154162,269.582665975358,269.587787580658,0.794708848968001,1,1746.79032861242
2.2,0.00131330990271024,0.3044108666595,1.83135641343868,283.346385442362,283.352303695532,0.835547018692296,1,1735.35177283206
2.3,0.00150529896600303,0.333437153054051,2.0099273829686,297.193117916721,297.19991444337,0.876669782027223,1,1723.9132170517
2.4,0.00171559777501178,0.363852271248547,2.19757005403724,311.123237315273,311.130998313698,0.918080586784912,1,1712.47466127133
2.5,0.00194511918617749,0.395664628072623,2.39439936648249,325.138222268921,325.147038627942,0.95978619448477,1,1701.03610549097
2.6,0.00219478805631083,0.428882831168371,2.60054135696466,339.24071088387,339.250678313755,1.00179685073279,1,1689.59754971061
2.7,0.00246554248285505,0.463515812080957,2.81613453943016,353.434490196685,353.445709373214,1.04412626457836,1,1678.15899393025
2.8,0.00275833502560505,0.499572930486678,3.04132992154196,367.724326925367,367.736903642273,1.0867911198041,1,1666.72043814989
2.9,0.00307413390389067,0.537064056682881,3.27628919028802,382.115604121613,382.129649443855,1.12981001200832,1,1655.28188236953
3,0.00341392392946587,0.575999614208219,3.52118259645486,396.613981270491,396.629611685899,1.17320245273248,1,1643.84332658917
3.1,0.00377870661821825,0.616390521779066,3.77615845284551,411.222031633618,411.239369070547,1.21697892451133,1,1632.40477080881
3.2,0.00416949355867214,0.658247415843984,4.04127615447636,425.932369240018,425.951540764172,1.26112050341023,1,1620.96621502845
3.3,0.0045873032297048,0.701580316548127,4.31663535585227,440.742335245957,440.763473326517,1.30562228831036,1,1609.52765924809
3.4,0.00503316651442443,0.746399238407896,4.60237118033046,455.652967509206,455.676210285799,1.35049038850196,1,1598.08910346772
3.5,0.00550812793956814,0.792714300969599,4.89862130576243,470.66532819688,470.690819601757,1.39573106456225,1,1586.65054768736
3.6,0.00601324592617623,0.840535731214937,5.2055260401719,485.780504801877,485.80839468552,1.44135073400813,1,1575.211991907
3.7,0.00654959306554482,0.889873866228269,5.52322840536403,500.999611264583,501.030055524897,1.48735597737448,1,1563.77343612664
3.8,0.00711825638564811,0.940739155813951,5.85187421935524,516.323789075297,516.356949790501,1.53375354434984,1,1552.33488034628
3.9,0.00772033764460391,0.993142165397201,6.19161218746936,531.754208490638,531.790254056037,1.58055036037611,1,1540.89632456592
4,0.00835695361425556,1.0470935788712,6.54259399217169,547.292069728861,547.331174997594,1.62775353331232,1,1529.45776878556
4.1,0.00902923639272208,1.1026042017512,6.90497439237711,562.938604288617,562.980950716607,1.67537036060481,1,1518.0192130052
4.2,0.00973833370668812,1.15968496427077,7.27891132140723,578.695076244709,578.740852039922,1.72340833652923,1,1506.58065722484
4.3,0.0104854092447631,1.21834692481043,7.66456599531022,594.562783677613,594.612183953851,1.77187515998557,1,1495.14210144447
4.4,0.0112716429801785,1.27860127326389,8.06210301973436,610.543060077982,610.596287013348,1.82077874237415,1,1483.70354566411
4.5,0.0120982315268484,1.34045933476429,8.47169050814305,626.637275896161,626.694538896445,1.87012721607609,1,1472.26498988375
4.6,0.0129663884843405,1.40393257334323,8.89350019848174,642.846840064601,642.908355931717,1.91992894302543,1,1460.82643410339
4.7,0.0138773448187166,1.46903259597938,9.32770758226543,659.173201677567,659.239194783346,1.97019252394245,1,1449.38787832303
4.8,0.0148323492318273,1.535771156575,9.7744920320102,675.617851641567,675.688554107031,2.02092680767126,1,1437.94932254267
4.9,0.0158326685692183,1.6041601603541,10.2340369422764,692.182324496546,692.257976376999,2.07214090124144,1,1426.51076676231
5,0.0168795882160024,1.67421166818312,10.7065298689421,708.868200205537,708.94904968162,2.12384418004868,1,1415.07221098195
5.1,0.0179744125343453,1.74593790134813,11.1921626834048,725.677106129855,725.763409704934,2.17604629882902,1,1403.63365520159
5.2,0.0191184652883978,1.81935124624875,11.6911317248939,742.610718970416,742.702741674465,2.22875720276953,1,1392.19509942122
5.3,0.0203130901141271,1.8944642595866,12.2036379691693,759.670766910865,759.768782511248,2.28198713948992,1,1380.75654364086
5.4,0.0215596509760437,1.97128967346419,12.7298871952063,776.859031724431,776.963322943769,2.33574667118079,1,1369.3179878605
5.5,0.0228595326724296,2.04984040101956,13.2700901698822,794.177351100514,794.288209842086,2.39004668769907,1,1357.87943208014
5.6,0.0242141413268746,2.13012954196495,13.8244628305221,811.627620932568,811.745348513444,2.44489841984375,1,1346.44087629978
5.7,0.0256249049322679,2.21217038870591,14.39322648724,829.211797845523,829.336705237937,2.50031345368508,1,1335.00232051942
5.8,0.0270932738804741,2.29597643235778,14.9766080230085,846.931901682031,847.064309763206,2.55630374510173,1,1323.56376473906
5.9,0.0286207215488074,2.38156136939119,15.5748401155208,864.790018250213,864.930258061208,2.61288163547916,1,1312.1252089587
6,0.03020874487153,2.46893910816804,16.1881614566491,882.788302027736,882.936715041548,2.67005986764828,1,1300.68665317834
6.1,0.031858864972923,2.55812377615957,16.8168169959205,900.928979151775,901.085917551337,2.72785160310627,1,1289.24809739798
6.2,0.0335726277846848,2.64912972704762,17.4610581814594,919.214350362857,919.380177329175,2.78627043951547,1,1277.80954161761
6.3,0.0353516047303508,2.74197154856821,18.1211432275105,937.646794262662,937.821884273831,2.84533042962334,1,1266.37098583725
6.4,0.0371973933925207,2.83666407022277,18.797337379011,956.228770519738,956.413509661082,2.90504610049369,1,1254.93243005689
6.5,0.0391116182527891,2.9332223717869,19.4899132052804,974.962823417036,975.157609703205,2.96543247430442,1,1243.49387427653
6.6,0.0410596659049216,3.03062247624013,19.4710805288352,973.041463025627,973.236256899635,2.96307749895709,2,1239
6.7,0.0430058424389435,3.1278311005793,19.4524902658279,971.133188359363,971.327992446714,2.96075410374291,2,1239
6.8,0.044950171924048,3.22484954360291,19.4341389836154,969.237804534427,969.43262143212,2.95846184913259,2,1239
6.9,0.0468926780891785,3.32167908479518,19.4160233087021,967.355120091473,967.549952368513,2.95620030318309,2,1239
7,0.0488333843287814,3.41832098466,19.398139925464,965.484946921733,965.67979711964,2.95396904137482,2,1239
7.1,0.0507723137086313,3.51477648505734,19.3804855748845,963.627100193885,963.821970827182,2.95176764644987,2,1239
7.2,0.0527094889713328,3.61104680952256,19.3630570533456,961.781398284051,961.976291840747,2.94959570825787,2,1239
7.3,0.0546449325418953,3.70713316358846,19.3458512114294,959.947662706454,960.142581648517,2.94745282360258,2,1239
7.4,0.0565786665330029,3.80303673509112,19.3288649527717,958.125718047029,958.320664810843,2.94533859609568,2,1239
7.5,0.0585107127503532,3.89875869447825,19.3120952329256,956.315391897641,956.510368894464,2.94325263601132,2,1239
7.6,0.0604410926977059,3.99430019510227,19.2955390582736,954.51651479309,954.711524409492,2.9411945601473,2,1239
7.7,0.0623698275819977,4.08966237351572,19.2791934849489,952.728920148686,952.923964746984,2.93916399168707,2,1239
7.8,0.064296938318182,4.18484634975215,19.2630556178033,950.952444200434,951.147526119116,2.93716056006799,2,1239
7.9,0.0662224455341304,4.27985322760924,19.2471226093832,949.186925945769,949.382047499909,2.93518390085022,2,1239
8,0.068146369575274,4.37468409491821,19.2313916589487,947.43220708674,947.627370568406,2.93323365559168,2,1239
8.1,0.070068730509303,4.46934002381522,19.2158600115015,945.688131973711,945.883339652364,2.93130947172345,2,1239
8.2,0.0719895481306189,4.56382207099982,19.200524956853,943.954547551373,944.149801674255,2.92941100243097,2,1239
8.3,0.0739088419648421,4.65813127799526,19.1853838287003,942.231303305233,942.426606097755,2.92753790653567,2,1239
8.4,0.0758266312730852,4.75226867139653,19.1704340037405,940.518251210297,940.713604876408,2.92568984838196,2,1239
8.5,0.0777429350562778,4.84623526312014,19.1556729007925,938.815245680181,939.01065240274,2.92386649772475,2,1239
8.6,0.0796577720592691,4.94003205064224,19.1410979799543,937.122143518306,937.317605459442,2.92206752962196,2,1239
8.7,0.0815711607749794,5.03366001723835,19.126706741768,935.438803869495,935.634323170958,2.92029262432752,2,1239
8.8,0.0834831194483408,5.12712013221207,19.112496726418,933.765088173522,933.960666957031,2.91854146718911,2,1239
8.9,0.0853936660802828,5.22041335112531,19.0984655129366,932.100860119055,932.296500486638,2.91681374854631,2,1239
9,0.0873028184315195,5.31354061601798,19.0846107184408,930.445985599439,930.641689633764,2.91510916363329,2,1239
9.1,0.0892105940263777,5.40650285562913,19.0709299973758,928.80033266884,928.996102433543,2.91342741248187,2,1239
9.2,0.0911170101564374,5.49930098560817,19.0574210407888,927.163771500134,927.359609040139,2.91176819982882,2,1239
9.3,0.0930220838842098,5.59193590872728,19.0440815756084,925.536174343139,925.732081684972,2.91013123502352,2,1239
9.4,0.0949258320466382,5.68440851508452,19.0309093639525,923.917415484489,924.113394636587,2.90851623193971,2,1239
9.5,0.096828271258634,5.77671968230805,19.0179022024419,922.307371207833,922.503424160845,2.90692290888745,2,1239
9.6,0.0987294179164434,5.86887027575143,19.005057921541,920.705919755592,920.902048482677,2.90535098852904,2,1239
9.7,0.100629288201048,5.96086114868999,18.9923743849037,919.112941291012,919.30914774813,2.90380019779512,2,1239
9.8,0.102527898081405,6.05269314250876,18.9798494887441,917.528317861701,917.724603987895,2.90227026780446,2,1239
9.9,0.104425263317716,6.14436708689134,18.9674811612134,915.951933363434,916.148301081115,2.90076093378399,2,1239
10,0.10632139946455,6.23588380000081,18.9552673617998,914.383673505373,914.580124720594,2.89927193499231,2,1239
10.1,0.108216321873987,6.32724408866141,18.9432060807336,912.823425775535,913.019962378261,2.89780301464335,2,1239
10.2,0.110110045698622,6.41844874853274,18.9312953384152,911.271079407597,911.467703271969,2.89635391983343,2,1239
10.3,0.112002585894596,6.50949856428467,18.9195331848469,909.72652534794,909.923238332535,2.89492440146842,2,1239
10.4,0.113893957224487,6.60039430976502,18.9079176990874,908.189656223952,908.386460172044,2.89351421419405,2,1239
10.5,0.115784174260229,6.69113674816807,18.896446988709,906.660366312568,906.857263052371,2.89212311632645,2,1239
10.6,0.117673251385897,6.78172663219607,18.8851191892771,905.138551509993,905.335542854914,2.89075086978557,2,1239
10.7,0.11956120280052,6.87216470422147,18.8739324638314,903.624109301648,903.821197050526,2.8893972400288,2,1239
10.8,0.121448042520767,6.96245169644269,18.8628850023888,902.116938733246,902.314124670592,2.88806199598744,2,1239
10.9,0.123333784383652,7.05258833104035,18.8519750214483,900.616940382075,900.814226278304,2.88674491000327,2,1239
11,0.125218442049128,7.14257532032742,18.8412007635152,899.124016329347,899.321403941009,2.8854457577678,2,1239
11.1,0.127102029002696,7.23241336689981,18.8305604966283,897.638070132749,897.835561202753,2.88416431826165,2,1239
11.2,0.128984558557899,7.32210316378118,18.8200525139052,896.159006800005,896.356603057844,2.88290037369655,2,1239
11.3,0.130866043858847,7.4116453945681,18.8096751330901,894.686732762625,894.884435924591,2.88165370945731,2,1239
11.4,0.132746497882619,7.50104073356969,18.7994266961189,893.221155850619,893.418967620018,2.88042411404633,2,1239
11.5,0.134625933441694,7.59028984594759,18.7893055686872,891.762185267391,891.960107334754,2.87921137902824,2,1239
11.6,0.136504801565949,7.67941418626368,18.788059318844,890.724750385451,890.922876640954,2.87935770548305,3,949
11.7,0.138383545783442,7.76843482174663,18.7868274084267,889.688087165161,889.886418217335,2.87950706506295,3,949
11.8,0.140262167520636,7.85735182913226,18.7856096880968,888.652187014303,888.850723471977,2.87965944472527,3,949
